ticker,price,price_date,updated_at_utc,updated_at_madrid,market_status,confirmed_close,confirmed_close_date,change_from_close,change_from_close_percent
AVGO,347.299988,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,347.299988,2026-09-17,0.0,0.0
AWK,138.240005,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,138.240005,2026-09-17,0.0,0.0
AXP,311.170013,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,311.170013,2026-09-17,0.0,0.0
AZO,2844.310059,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,2844.310059,2026-09-17,0.0,0.0
BA,197.0,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,197.0,2026-09-17,0.0,0.0
BAC,58.18,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,58.18,2026-09-17,0.0,0.0
BALL,60.75,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,60.75,2026-09-17,0.0,0.0
BESIY,207.75,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,207.75,2026-09-17,0.0,0.0
BIIB,219.050003,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,219.050003,2026-09-17,0.0,0.0
BKNG,170.520004,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,170.520004,2026-09-17,0.0,0.0
BKR,56.57,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,56.57,2026-09-17,0.0,0.0
BLK,1053.959961,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,1053.959961,2026-09-17,0.0,0.0
BMRN,65.080002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,65.080002,2026-09-17,0.0,0.0
BMY,62.84,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,62.84,2026-09-17,0.0,0.0
BRK-B,509.200012,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,509.200012,2026-09-17,0.0,0.0
BSX,43.549999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,43.549999,2026-09-17,0.0,0.0
C,132.699997,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,132.699997,2026-09-17,0.0,0.0
CARR,54.389999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,54.389999,2026-09-17,0.0,0.0
CAT,798.570007,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,798.570007,2026-09-17,0.0,0.0
CB,341.899994,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,341.899994,2026-09-17,0.0,0.0
CBOE,266.670013,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,266.670013,2026-09-17,0.0,0.0
CBRE,139.320007,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,139.320007,2026-09-17,0.0,0.0
CCI,73.739998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,73.739998,2026-09-17,0.0,0.0
CDE,19.98,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,19.98,2026-09-17,0.0,0.0
CDNS,280.76001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,280.76001,2026-09-17,0.0,0.0
CEG,262.799988,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,262.799988,2026-09-17,0.0,0.0
CHTR,133.369995,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,133.369995,2026-09-17,0.0,0.0
CI,276.0,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,276.0,2026-09-17,0.0,0.0
CIEN,344.25,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,344.25,2026-09-17,0.0,0.0
CL,87.730003,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,87.730003,2026-09-17,0.0,0.0
CLF,12.76,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,12.76,2026-09-17,0.0,0.0
CMCSA,22.91,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,22.91,2026-09-17,0.0,0.0
CME,271.149994,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,271.149994,2026-09-17,0.0,0.0
CMG,33.509998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,33.509998,2026-09-17,0.0,0.0
COHR,295.980011,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,295.980011,2026-09-17,0.0,0.0
COP,133.190002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,133.190002,2026-09-17,0.0,0.0
COST,893.929993,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,893.929993,2026-09-17,0.0,0.0
CRDO,168.25,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,168.25,2026-09-17,0.0,0.0
CRM,242.850006,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,242.850006,2026-09-17,0.0,0.0
CRWD,245.699997,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,245.699997,2026-09-17,0.0,0.0
CSCO,110.239998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,110.239998,2026-09-17,0.0,0.0
CSX,47.900002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,47.900002,2026-09-17,0.0,0.0
CTVA,81.529999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,81.529999,2026-09-17,0.0,0.0
CVX,211.570007,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,211.570007,2026-09-17,0.0,0.0
D,64.290001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,64.290001,2026-09-17,0.0,0.0
DD,128.460007,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,128.460007,2026-09-17,0.0,0.0
DE,685.630005,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,685.630005,2026-09-17,0.0,0.0
DHR,212.5,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,212.5,2026-09-17,0.0,0.0
